[22/12/2023 18:48:30.041]	55e64057-046a-46f4-9757-c1b5745dcd01	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 18:49:23.006]	668d9cbe-9859-4004-b134-22de44b3bb89	OPTIONS	http://localhost:3001	/api/users/v1/authentication/registeruser
[22/12/2023 18:49:23.009]	ba22308c-10ff-4296-84ba-0681e79f5078	POST	http://localhost:3001	/api/users/v1/authentication/registeruser
[22/12/2023 18:51:06.955]	2068802e-9a8b-4024-9519-c747c32a65ad	OPTIONS	http://localhost:3001	/api/users/v1/authentication/registeruser
[22/12/2023 18:51:06.957]	65cfe666-193d-40cc-9e7f-b9a5beb93932	POST	http://localhost:3001	/api/users/v1/authentication/registeruser
[22/12/2023 18:52:03.535]	f0b2c079-c80e-4947-b6c8-61b5e8e2ce32	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:52:03.538]	0af68b8f-f9f9-45ac-813a-ab4a7db80f0a	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:52:07.350]	71f26c6b-6bd0-4d71-8ac4-595907ff9f2b	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 18:52:15.119]	3cd83cf4-005c-427a-a7d6-50109c270fb9	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:52:15.121]	3e6b1d01-0817-4bfd-8caf-dd0d53e60ce7	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:52:15.950]	334f86e2-24bf-4720-951e-5a59e5f6cf4c	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 18:52:17.540]	c23f9470-7313-4917-8f21-292da88c80c0	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:56:52.958]	80b19e85-ffef-4276-bd62-adee5fbae37c	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:56:52.960]	8c8c3514-f373-424b-a958-8e34ea1b233e	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:57:34.173]	b47177aa-51a4-402c-8d9a-7598bfdcfb3a	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:57:34.175]	50b31e81-db8b-467f-9cfc-7152ad701bc5	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:58:39.664]	043ecf8f-06dc-4a70-9281-027d32f14c15	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 18:58:39.666]	a197865a-38f1-4707-9a73-cb88fbbf985b	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 19:19:12.938]	043fa78e-b937-409b-9114-bf856f0b386c	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 19:19:12.939]	1ae50a5a-cbf9-4620-91e2-0e74c95121bb	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 19:19:20.200]	cb693965-e08c-466e-b2fb-a77ace85ffad	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 19:19:29.698]	655fff68-3729-42a2-8ff7-ea136d12232e	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 19:19:29.700]	7b7fc20e-d17a-45dd-b45d-bdeb770d5ee3	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 20:12:17.389]	025a947f-a184-4d1c-a785-fc820dde9dae	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 20:12:17.391]	b1811bb9-89ea-4597-b8ae-b548ef2cb136	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 20:31:47.356]	8604f335-591a-4d66-bdd8-a0fcd1151592	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 20:31:47.358]	9e4426aa-5db6-49cf-ba97-422a172d19a6	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
